scoreHome,scoreAway
120.0,118.0
132.0,91.0
103.0,116.0
112.0,101.0
124.0,97.0
109.0,92.0
121.0,123.0
126.0,136.0
122.0,113.0
144.0,149.0
141.0,134.0
129.0,120.0
138.0,122.0
126.0,125.0
143.0,148.0
95.0,116.0
106.0,104.0
109.0,99.0
99.0,127.0
108.0,126.0
139.0,132.0
141.0,138.0
110.0,117.0
119.0,125.0
130.0,124.0
122.0,129.0
113.0,114.0
147.0,145.0
152.0,157.0
116.0,126.0
114.0,116.0
109.0,117.0
130.0,121.0
127.0,113.0
120.0,126.0
110.0,105.0
103.0,102.0
108.0,107.0
120.0,128.0
121.0,129.0
130.0,122.0
131.0,136.0
134.0,116.0
132.0,130.0
120.0,118.0
119.0,123.0
143.0,130.0
129.0,107.0
127.0,119.0
115.0,136.0
125.0,134.0
129.0,111.0
116.0,119.0
129.0,127.0
136.0,119.0
101.0,122.0
125.0,106.0
116.0,107.0
113.0,120.0
118.0,122.0
139.0,124.0
121.0,113.0
105.0,114.0
121.0,130.0
107.0,108.0
130.0,105.0
108.0,110.0
126.0,125.0
123.0,122.0
114.0,121.0
117.0,109.0
98.0,106.0
115.0,106.0
124.0,122.0
101.0,126.0
104.0,95.0
119.0,125.0
117.0,98.0
124.0,121.0
109.0,126.0
108.0,98.0
117.0,107.0
123.0,113.0
86.0,110.0
111.0,110.0
132.0,103.0
118.0,103.0
122.0,115.0
131.0,107.0
121.0,110.0
112.0,117.0
120.0,105.0
122.0,113.0
131.0,128.0
112.0,106.0
130.0,124.0
127.0,100.0
124.0,116.0
121.0,136.0
133.0,112.0
124.0,115.0
100.0,106.0
129.0,121.0
108.0,92.0
121.0,104.0
110.0,108.0
134.0,122.0
121.0,114.0
108.0,117.0
91.0,115.0
118.0,130.0
98.0,104.0
115.0,133.0
126.0,132.0
105.0,113.0
127.0,130.0
96.0,98.0
90.0,99.0
113.0,101.0
115.0,105.0
110.0,99.0
129.0,111.0
120.0,100.0
98.0,116.0
118.0,111.0
122.0,104.0
113.0,87.0
127.0,92.0
96.0,99.0
107.0,118.0
110.0,88.0
102.0,113.0
99.0,104.0
103.0,100.0
111.0,127.0
113.0,96.0
105.0,94.0
124.0,95.0
116.0,93.0
120.0,116.0
125.0,124.0
135.0,103.0
123.0,114.0
108.0,97.0
111.0,104.0
118.0,103.0
112.0,96.0
129.0,117.0
109.0,120.0
120.0,108.0
113.0,131.0
123.0,107.0
117.0,111.0
116.0,93.0
100.0,82.0
121.0,106.0
127.0,112.0
123.0,115.0
113.0,125.0
114.0,125.0
132.0,121.0
91.0,112.0
116.0,122.0
99.0,107.0
128.0,132.0
108.0,99.0
123.0,115.0
108.0,97.0
112.0,94.0
94.0,102.0
108.0,113.0
91.0,96.0
128.0,120.0
116.0,107.0
112.0,116.0
131.0,136.0
143.0,138.0
129.0,117.0
68.0,62.0
2.0,3.0
102.0,95.0
117.0,122.0
103.0,136.0
123.0,110.0
115.0,122.0
115.0,123.0
116.0,111.0
86.0,112.0
106.0,111.0
96.0,101.0
100.0,110.0
104.0,79.0
113.0,125.0
116.0,119.0
109.0,121.0
93.0,113.0
108.0,100.0
97.0,106.0
103.0,105.0
103.0,99.0
122.0,119.0
119.0,94.0
127.0,112.0
140.0,88.0
138.0,110.0
117.0,99.0
136.0,86.0
133.0,129.0
125.0,117.0
131.0,91.0
105.0,114.0
129.0,124.0
118.0,112.0
96.0,115.0
100.0,102.0
117.0,98.0
145.0,113.0
127.0,120.0
126.0,97.0
120.0,118.0
128.0,122.0
114.0,97.0
128.0,111.0
116.0,107.0
120.0,113.0
133.0,123.0
125.0,119.0
124.0,97.0
113.0,103.0
119.0,116.0
114.0,98.0
117.0,94.0
121.0,107.0
155.0,104.0
119.0,111.0
123.0,110.0
114.0,106.0
84.0,103.0
110.0,97.0
105.0,111.0
116.0,123.0
112.0,88.0
103.0,115.0
121.0,87.0
115.0,119.0
117.0,119.0
119.0,106.0
112.0,99.0
120.0,114.0
121.0,102.0
97.0,93.0
122.0,114.0
137.0,93.0
120.0,95.0
115.0,93.0
129.0,131.0
105.0,115.0
117.0,113.0
127.0,109.0
119.0,109.0
127.0,116.0
106.0,99.0
94.0,106.0
139.0,96.0
125.0,121.0
117.0,120.0
121.0,118.0
125.0,114.0
107.0,99.0
116.0,110.0
126.0,102.0
139.0,118.0
121.0,109.0
112.0,117.0
92.0,95.0
109.0,117.0
116.0,120.0
134.0,121.0
140.0,105.0
130.0,121.0
122.0,104.0
125.0,112.0
126.0,122.0
131.0,112.0
128.0,112.0
123.0,119.0
112.0,94.0
123.0,132.0
126.0,117.0
119.0,125.0
134.0,93.0
90.0,103.0
97.0,107.0
116.0,100.0
103.0,111.0
102.0,82.0
103.0,109.0
109.0,81.0
107.0,110.0
109.0,86.0
89.0,101.0
114.0,107.0
115.0,114.0
144.0,102.0
128.0,123.0
98.0,106.0
134.0,112.0
125.0,97.0
92.0,95.0
114.0,103.0
126.0,120.0
120.0,107.0
107.0,98.0
111.0,112.0
105.0,95.0
108.0,102.0
113.0,107.0
122.0,92.0
128.0,75.0
105.0,109.0
102.0,111.0
104.0,92.0
114.0,112.0
101.0,98.0
99.0,75.0
97.0,99.0
116.0,111.0
123.0,108.0
82.0,91.0
111.0,101.0
103.0,108.0
114.0,107.0
107.0,111.0
117.0,103.0
88.0,87.0
104.0,123.0
108.0,90.0
111.0,105.0
130.0,108.0
122.0,113.0
104.0,88.0
114.0,128.0
107.0,116.0
83.0,115.0
113.0,111.0
98.0,97.0
126.0,141.0
125.0,119.0
118.0,100.0
121.0,129.0
124.0,130.0
119.0,129.0
143.0,140.0
120.0,111.0
115.0,119.0
99.0,86.0
96.0,102.0
119.0,114.0
145.0,136.0
101.0,99.0
96.0,106.0
116.0,86.0
118.0,102.0
108.0,113.0
109.0,115.0
112.0,96.0
96.0,107.0
109.0,117.0
132.0,125.0
117.0,112.0
111.0,110.0
118.0,112.0
121.0,109.0
114.0,122.0
112.0,99.0
102.0,108.0
120.0,106.0
95.0,96.0
141.0,103.0
75.0,105.0
124.0,97.0
116.0,107.0
126.0,107.0
95.0,123.0
122.0,121.0
89.0,113.0
109.0,95.0
101.0,106.0
114.0,117.0
122.0,125.0
93.0,100.0
103.0,104.0
128.0,101.0
109.0,101.0
122.0,119.0
149.0,115.0
128.0,124.0
117.0,103.0
84.0,98.0
104.0,105.0
110.0,111.0
119.0,95.0
139.0,107.0
119.0,123.0
103.0,116.0
113.0,101.0
140.0,105.0
114.0,129.0
109.0,106.0
97.0,113.0
129.0,117.0
119.0,93.0
114.0,93.0
109.0,115.0
110.0,88.0
121.0,110.0
140.0,133.0
116.0,106.0
